Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,ust_id
1,,C-Device,C25C26,10 pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,2,~,
2,,C-Device,C20,22pF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,1,~,
3,Unpolarized capacitor,C,C16,100nF,C_0805_2012Metric,1,~,5c70984712875079b91f8b4c
4,,C-Device,C21C22C23C24,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,4,~,
5,Unpolarized capacitor,C,C17,10uF,C_0805_2012Metric,1,~,5c70984812875079b91f8bbe
6,Zener diode,D_Zener,D3,"BZV55C-6,2V",D_MiniMELF,1,~,604b0326128750769e5b0f93
7,,DEA202450BT-1213C1,FL1,DEA202450BT-1213C1,DEA202450BT-1213C1,1,,
8,"2x03 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x03_PARALLEL,J2,3.3-5V,Straight_2x03,1,,
9,"coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, LEMO, ...)",Conn_Coaxial,J1,Conn_Coaxial,MCX,1,~,
10,,INDUCTOR-pspice,L2,0ohm,L_0402_1005Metric_Pad0.77x0.64mm_HandSolder,1,~,
11,,R-Device,R18,0,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,1,~,
12,,CC2564CRVMR,U5,CC2564CRVMR,CC2564CRVMR,1,,
13,,Crystal_GND24_Small-Device,Y3,ECS-260-8-36CKM-TR,XTAL_ECS-260-8-36CKM-TR,1,~,
